id,timestamp,name,buy,sell
344,2025-09-24T20:12:04.338Z,zro,0.11,0.22
345,2025-09-24T20:14:04.413Z,cake,0.2,0.13
346,2025-09-24T20:14:04.413Z,aave,0.24,0.1
347,2025-09-24T20:14:04.413Z,eth,0.06,0.22
348,2025-09-24T20:14:04.413Z,btc,0.06,0.22
349,2025-09-24T20:14:04.413Z,virtual,0.11,0.22
350,2025-09-24T20:14:04.413Z,avnt,0.16,0.17
351,2025-09-24T20:14:04.413Z,bio,0.13,0.2
352,2025-09-24T20:14:04.413Z,zro,0.11,0.22
353,2025-09-24T20:16:04.288Z,cake,0.2,0.13
354,2025-09-24T20:16:04.288Z,aave,0.24,0.1
355,2025-09-24T20:16:04.288Z,eth,0.06,0.22
356,2025-09-24T20:16:04.288Z,btc,0.06,0.22
357,2025-09-24T20:16:04.288Z,virtual,0.11,0.22
358,2025-09-24T20:16:04.288Z,avnt,0.16,0.16
359,2025-09-24T20:16:04.288Z,bio,0.13,0.2
360,2025-09-24T20:16:04.288Z,zro,0.11,0.22
361,2025-09-24T20:18:04.350Z,cake,0.21,0.12
362,2025-09-24T20:18:04.350Z,aave,0.24,0.1
363,2025-09-24T20:18:04.350Z,eth,0.06,0.22
364,2025-09-24T20:18:04.350Z,btc,0.06,0.22
365,2025-09-24T20:18:04.350Z,virtual,0.11,0.22
366,2025-09-24T20:18:04.350Z,avnt,0.16,0.16
367,2025-09-24T20:18:04.350Z,bio,0.13,0.2
368,2025-09-24T20:18:04.350Z,zro,0.11,0.22
369,2025-09-24T20:20:04.465Z,cake,0.21,0.12
370,2025-09-24T20:20:04.465Z,aave,0.23,0.1
371,2025-09-24T20:20:04.465Z,eth,0.06,0.22
372,2025-09-24T20:20:04.465Z,btc,0.06,0.22
373,2025-09-24T20:20:04.465Z,virtual,0.11,0.22
374,2025-09-24T20:20:04.465Z,avnt,0.16,0.16
375,2025-09-24T20:20:04.465Z,bio,0.13,0.2
376,2025-09-24T20:20:04.465Z,zro,0.11,0.22
377,2025-09-24T20:22:04.270Z,cake,0.21,0.12
378,2025-09-24T20:22:04.270Z,aave,0.24,0.1
379,2025-09-24T20:22:04.270Z,eth,0.06,0.22
380,2025-09-24T20:22:04.270Z,btc,0.06,0.22
381,2025-09-24T20:22:04.270Z,virtual,0.11,0.22
382,2025-09-24T20:22:04.270Z,avnt,0.16,0.16
383,2025-09-24T20:22:04.270Z,bio,0.13,0.2
384,2025-09-24T20:22:04.270Z,zro,0.11,0.22
385,2025-09-24T20:24:04.221Z,cake,0.21,0.12
386,2025-09-24T20:24:04.221Z,aave,0.24,0.1
387,2025-09-24T20:24:04.221Z,eth,0.06,0.22
388,2025-09-24T20:24:04.221Z,btc,0.06,0.22
389,2025-09-24T20:24:04.221Z,virtual,0.11,0.22
390,2025-09-24T20:24:04.221Z,avnt,0.16,0.16
391,2025-09-24T20:24:04.221Z,bio,0.13,0.2
392,2025-09-24T20:24:04.221Z,zro,0.11,0.22
393,2025-09-24T20:26:04.861Z,cake,0.21,0.12
394,2025-09-24T20:26:04.861Z,aave,0.25,0.1
395,2025-09-24T20:26:04.861Z,eth,0.06,0.22
396,2025-09-24T20:26:04.861Z,btc,0.06,0.22
397,2025-09-24T20:26:04.861Z,virtual,0.11,0.22
398,2025-09-24T20:26:04.861Z,avnt,0.16,0.16
399,2025-09-24T20:26:04.861Z,bio,0.13,0.2
400,2025-09-24T20:26:04.861Z,zro,0.11,0.22
401,2025-09-24T20:28:04.771Z,cake,0.21,0.12
402,2025-09-24T20:28:04.771Z,aave,0.25,0.1
403,2025-09-24T20:28:04.771Z,eth,0.06,0.22
404,2025-09-24T20:28:04.771Z,btc,0.06,0.22
405,2025-09-24T20:28:04.771Z,virtual,0.11,0.22
406,2025-09-24T20:28:04.771Z,avnt,0.16,0.15
407,2025-09-24T20:28:04.771Z,bio,0.13,0.2
408,2025-09-24T20:28:04.771Z,zro,0.11,0.22
409,2025-09-24T20:30:04.231Z,cake,0.21,0.12
410,2025-09-24T20:30:04.231Z,aave,0.25,0.1
411,2025-09-24T20:30:04.231Z,eth,0.06,0.22
412,2025-09-24T20:30:04.231Z,btc,0.06,0.22
413,2025-09-24T20:30:04.231Z,virtual,0.11,0.22
414,2025-09-24T20:30:04.231Z,avnt,0.16,0.15
415,2025-09-24T20:30:04.231Z,bio,0.13,0.2
416,2025-09-24T20:30:04.231Z,zro,0.11,0.22
417,2025-09-24T20:32:04.142Z,cake,0.2,0.13
418,2025-09-24T20:32:04.142Z,aave,0.25,0.1
419,2025-09-24T20:32:04.142Z,eth,0.06,0.22
420,2025-09-24T20:32:04.142Z,btc,0.06,0.22
421,2025-09-24T20:32:04.142Z,virtual,0.11,0.22
422,2025-09-24T20:32:04.142Z,avnt,0.16,0.15
423,2025-09-24T20:32:04.142Z,bio,0.13,0.2
424,2025-09-24T20:32:04.142Z,zro,0.11,0.22
425,2025-09-24T20:34:04.225Z,cake,0.2,0.13
426,2025-09-24T20:34:04.225Z,aave,0.24,0.11
427,2025-09-24T20:34:04.225Z,eth,0.06,0.22
428,2025-09-24T20:34:04.225Z,btc,0.06,0.22
429,2025-09-24T20:34:04.225Z,virtual,0.11,0.22
430,2025-09-24T20:34:04.225Z,avnt,0.16,0.15
431,2025-09-24T20:34:04.225Z,bio,0.13,0.2
432,2025-09-24T20:34:04.225Z,zro,0.11,0.22
433,2025-09-24T20:36:04.043Z,cake,0.21,0.12
434,2025-09-24T20:36:04.043Z,aave,0.24,0.11
435,2025-09-24T20:36:04.043Z,eth,0.06,0.22
436,2025-09-24T20:36:04.043Z,btc,0.06,0.22
437,2025-09-24T20:36:04.043Z,virtual,0.11,0.22
438,2025-09-24T20:36:04.043Z,avnt,0.16,0.15
439,2025-09-24T20:36:04.043Z,bio,0.13,0.2
440,2025-09-24T20:36:04.043Z,zro,0.11,0.22
441,2025-09-24T20:38:04.423Z,cake,0.2,0.13
442,2025-09-24T20:38:04.423Z,aave,0.25,0.11
443,2025-09-24T20:38:04.423Z,eth,0.06,0.22
444,2025-09-24T20:38:04.423Z,btc,0.06,0.22
445,2025-09-24T20:38:04.423Z,virtual,0.11,0.22
446,2025-09-24T20:38:04.423Z,avnt,0.16,0.15
447,2025-09-24T20:38:04.423Z,bio,0.13,0.2
448,2025-09-24T20:38:04.423Z,zro,0.11,0.22
449,2025-09-24T20:40:04.741Z,cake,0.2,0.13
450,2025-09-24T20:40:04.741Z,aave,0.25,0.11
451,2025-09-24T20:40:04.741Z,eth,0.06,0.22
452,2025-09-24T20:40:04.741Z,btc,0.06,0.22
453,2025-09-24T20:40:04.741Z,virtual,0.11,0.22
454,2025-09-24T20:40:04.741Z,avnt,0.16,0.15
455,2025-09-24T20:40:04.741Z,bio,0.13,0.2
456,2025-09-24T20:40:04.741Z,zro,0.11,0.22
457,2025-09-24T20:42:04.688Z,cake,0.2,0.13
458,2025-09-24T20:42:04.688Z,aave,0.25,0.11
459,2025-09-24T20:42:04.688Z,eth,0.06,0.22
460,2025-09-24T20:42:04.688Z,btc,0.06,0.22
